# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

관리자::1, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048292810FC53F57F50B6D6F73745369674269747304BE324543DCA74110
대표투표다음, boolean, 01
라운드1, long, 0000000000000000
모드레드, boolean, 00
모르가나, boolean, 00
선인원, long, 0000000000000002
성공실패투표다음, boolean, 01
악인원, long, 0000000000000002
오베론, boolean, 00
요정, long, 0000000000000001
요정여부, boolean, 00
원정대최대인원, long, 0000000000000003
원정번째, long, 0000000000000002
원정성공, long, 0000000000000000
원정실패, long, 0000000000000000
원정연속반대, long, 0000000000000000
원정횟수, long, 0000000000000000
접속인원수카운트, long, 0000000000000007
접속카운트1, string, 80075F676C6170655F
접속카운트2, string, 80064A756E5F5375
접속카운트3, string, 8008646F746F72695F6F
접속카운트5, string, 80066B6F68626572
접속카운트6, string, 800B47656E6975736D696E675F
접속카운트7, string, 800645747562655F
접속카운트8, string, 800B636869636F726974613932
찬반투표다음, boolean, 01
퍼시벌, boolean, 00

